"","Price","Condo","Size","Rooms","Toilets","Suites","Parking","Elevator","Furnished","Swimming.Pool","New","Sale","District","Latitude","Longitude","Cluster_Silhouette"
"4145",7500,1590,136,3,4,3,2,"0","1","1","0",FALSE,"Vila Mariana/São Paulo",-23.6018021,-46.6329157,7
"10352",3000,524,89,3,2,1,2,"0","0","1","0",FALSE,"Casa Verde/São Paulo",-23.5124632,-46.6565075,2
"8015",1570000,700,186,4,5,2,3,"1","0","1","0",TRUE,"Rio Pequeno/São Paulo",-23.555291,-46.737956,7
"6296",4900000,0,201,3,5,3,3,"0","0","1","0",TRUE,"Iguatemi/São Paulo",-23.585269,-46.681625,7
"11746",555000,475,60,2,2,1,1,"1","0","1","0",TRUE,"Saúde/São Paulo",-23.616823,-46.634171,2
"3745",4200,1450,98,2,1,0,1,"0","0","0","0",FALSE,"Jardim Paulista/São Paulo",-23.5793431,-46.6771848,4
"5433",759000,0,103,4,4,2,2,"1","0","1","0",TRUE,"Barra Funda/São Paulo",-23.515459,-46.686931,7
"5549",723998,0,67,2,2,1,1,"0","0","1","0",TRUE,"Consolação/São Paulo",-23.550384,-46.647483,2
"572",3105,466,103,2,2,1,1,"1","0","0","0",FALSE,"Vila Curuçá/São Paulo",-23.553135,-46.635909,1
"2376",1600,550,36,1,2,1,1,"1","1","1","0",FALSE,"Consolação/São Paulo",-23.5524661,-46.6502243,5
"9904",3000,1200,60,2,3,2,2,"0","0","1","0",FALSE,"Itaim Bibi/São Paulo",-23.58247,-46.681652,2
"3691",1600,800,80,3,2,1,1,"0","0","0","0",FALSE,"Jabaquara/São Paulo",-23.650339,-46.6493572,8
"13418",345000,550,74,2,1,0,2,"0","0","0","0",TRUE,"Campo Grande/São Paulo",-23.6635889,-46.6821916,4
"10467",3000,600,82,3,2,1,2,"1","1","1","0",FALSE,"Tatuapé/São Paulo",0,0,5
"3859",5000,1000,130,3,2,1,2,"0","0","0","0",FALSE,"Moema/São Paulo",-23.6088981628,-46.6634979248,8
"9489",1600,292,62,2,2,1,1,"0","0","1","0",FALSE,"Vila Maria/São Paulo",-23.513511,-46.588625,2
"13496",360000,639,74,3,1,0,1,"0","0","1","0",TRUE,"Cidade Ademar/São Paulo",-23.6654438,-46.6591798,2
"3692",2200,741,85,3,1,0,1,"0","0","0","0",FALSE,"Jabaquara/São Paulo",-23.6493823,-46.6455598,4
"4859",6000,1100,125,3,2,1,2,"0","1","1","0",FALSE,"Vila Leopoldina/São Paulo",-23.5329871,-46.731198,5
"7645",430000,734,75,3,2,1,2,"0","0","1","0",TRUE,"Anhanguera/São Paulo",-23.660743,-46.686148,2
"12504",210000,300,48,2,1,0,1,"0","1","1","0",TRUE,"Aricanduva/São Paulo",0,0,2
"11071",850000,872,109,3,2,1,2,"0","1","1","0",TRUE,"Mooca/São Paulo",-23.5613468,-46.6051833,2
"4593",1350,400,40,1,1,0,1,"1","0","1","0",FALSE,"Limão/São Paulo",-23.4993822,-46.6799456,5
"7598",1950000,1840,190,3,4,1,4,"1","1","1","0",TRUE,"Vila Sônia/São Paulo",-23.601503,-46.725399,5
"11960",595000,550,62,2,2,1,1,"0","0","1","0",TRUE,"Barra Funda/São Paulo",0,0,2
"3466",1700,620,75,2,2,1,1,"0","0","1","0",FALSE,"Campo Grande/São Paulo",-23.6663858,-46.6814288,2
"12135",218000,350,45,1,1,0,0,"1","0","0","0",TRUE,"República/São Paulo",-23.5387106,-46.6462672,1
"9596",900,330,45,2,2,1,1,"0","0","0","0",FALSE,"Aricanduva/São Paulo",-23.573798,-46.502189,6
"8984",585000,558,69,2,1,0,1,"0","0","0","0",TRUE,"Perdizes/São Paulo",-23.5419578,-46.6749786,4
"5819",233000,390,51,2,2,1,1,"1","1","1","0",TRUE,"Tremembé/São Paulo",-23.420132,-46.580534,5
"10208",900,0,49,2,2,1,1,"0","0","0","0",FALSE,"Raposo Tavares/São Paulo",-23.603123,-46.797977,6
"7674",185000,100,50,2,2,1,1,"0","0","0","0",TRUE,"Brasilândia/São Paulo",-23.450053,-46.715496,6
"8189",376000,380,36,1,2,1,1,"0","0","1","0",TRUE,"Bela Vista/São Paulo",0,0,2
"8888",1050000,1540,105,3,2,1,2,"0","0","1","0",TRUE,"Moema/São Paulo",-23.6091999,-46.6634719,2
"114",1280,560,62,2,2,1,1,"1","0","1","0",FALSE,"Carrão/São Paulo",-23.562428,-46.532338,5
"3366",2000,570,63,2,2,1,2,"0","0","1","0",FALSE,"Cambuci/São Paulo",-23.5615183,-46.620916,2
"3343",1600,380,72,2,1,0,1,"0","0","0","0",FALSE,"Cambuci/São Paulo",-23.5632767,-46.6280739,4
"3621",40000,4000,343,4,5,4,3,"0","0","0","0",FALSE,"Itaim Bibi/São Paulo",-23.588876,-46.6830232,3
"951",1000,400,50,2,2,1,1,"0","0","0","0",FALSE,"Cidade Ademar/São Paulo",-23.662348,-46.674467,6
"9402",1300,455,70,2,2,1,1,"1","0","0","0",FALSE,"Santana/São Paulo",-23.506661,-46.626128,1
"285",840,198,57,2,2,1,1,"0","0","0","0",FALSE,"Jardim Helena/São Paulo",-23.464727,-46.422562,6
"9151",1200,240,30,1,2,1,1,"1","0","0","0",FALSE,"Brás/São Paulo",-23.546959,-46.623657,1
"9915",1100,597,60,2,2,1,1,"0","0","1","0",FALSE,"Jabaquara/São Paulo",-23.657555,-46.649198,2
"7346",490000,752,66,2,2,1,2,"1","0","1","0",TRUE,"Morumbi/São Paulo",-23.61354,-46.740127,1
"12418",235000,350,48,2,1,0,1,"0","0","0","0",TRUE,"Medeiros/São Paulo",-23.4824976,-46.5659263,4
"5885",990000,1300,140,3,4,2,2,"1","1","1","0",TRUE,"Vila Guilherme/São Paulo",-23.503843,-46.602154,5
"11873",880000,1200,84,2,2,1,1,"0","0","0","0",TRUE,"Pinheiros/São Paulo",-23.555294,-46.677161,6
"11263",330000,450,62,3,2,1,1,"1","0","1","0",TRUE,"Pari/São Paulo",-23.525212,-46.602867,2
"4278",15000,1800,170,3,4,3,3,"0","0","1","0",FALSE,"Alto de Pinheiros/São Paulo",-23.5519402,-46.7208056,7
"12186",637000,0,48,1,2,1,1,"1","0","1","0",TRUE,"Sé/São Paulo",-23.5496911,-46.6437583,2
"62",1250,400,55,2,2,1,1,"1","0","0","0",FALSE,"Cangaíba/São Paulo",-23.508439,-46.530778,1
"908",900,0,56,2,2,1,1,"0","0","0","0",FALSE,"Capão Redondo/São Paulo",-23.671851,-46.763654,6
"11003",2800,600,70,2,2,1,1,"0","0","1","0",FALSE,"Vila Leopoldina/São Paulo",-23.5317834,-46.7451035,2
"11376",940000,850,112,3,2,1,2,"0","1","1","0",TRUE,"Água Rasa/São Paulo",-23.558256,-46.572801,2
"59",1200,400,62,2,2,1,1,"1","0","0","0",FALSE,"Cangaíba/São Paulo",-23.508439,-46.530778,1
"7070",690000,680,82,3,2,1,2,"0","0","1","0",TRUE,"Cursino/São Paulo",-23.606103,-46.617065,2
"2670",3000,1034,122,3,4,3,3,"1","0","1","0",FALSE,"Mandaqui/São Paulo",-23.4787329,-46.6331362,7
"5761",232000,380,48,2,2,1,1,"1","0","1","0",TRUE,"Jaçanã/São Paulo",-23.483119,-46.566866,2
"5460",940000,900,102,3,3,1,2,"0","0","1","0",TRUE,"Barra Funda/São Paulo",-23.529705,-46.66279,2
"11543",230000,250,48,2,2,1,1,"0","0","0","0",TRUE,"Vila Curuçá/São Paulo",-23.504792,-46.427598,6
"5826",420000,0,59,2,2,1,1,"0","0","1","0",TRUE,"Tremembé/São Paulo",-23.464107,-46.60113,2
"7212",245000,393,48,2,2,1,1,"0","0","1","0",TRUE,"Jardim Ângela/São Paulo",-23.597539,-46.541124,2
"12065",360000,390,65,3,2,1,1,"0","0","1","0",TRUE,"Brás/São Paulo",-23.5373197,-46.5949753,2
"12177",595000,820,55,2,1,0,1,"0","0","0","0",TRUE,"Santa Cecília/São Paulo",0,0,4
"3403",2000,783,78,3,1,0,1,"0","1","1","0",FALSE,"Campo Belo/São Paulo",-23.6253938,-46.6633418,5
"3736",5000,1216,180,3,2,1,2,"0","0","0","0",FALSE,"Jardim Paulista/São Paulo",-23.5669939,-46.6606564,8
"9107",2005,2200,90,2,3,2,1,"0","1","1","0",FALSE,"Bela Vista/São Paulo",-23.567556,-46.645463,5
"2959",1200,500,58,2,1,0,1,"0","0","0","0",FALSE,"Belém/São Paulo",-23.5459903,-46.5952403,4
"290",850,0,48,2,2,1,1,"0","0","0","0",FALSE,"Jardim Helena/São Paulo",-23.497533,-46.39551,6
"316",900,0,47,2,2,1,1,"0","0","0","0",FALSE,"José Bonifácio/São Paulo",-23.553651,-46.43474,6
"9536",3000,1200,140,4,4,2,2,"0","0","1","0",FALSE,"Medeiros/São Paulo",-23.599178,-46.728962,7
